epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.4888,0.55089,0.91803,1,0.20889,0.000543319,0.000543319,0.000543319
2,94.769,0.29753,0.93115,1,0.21103,0.00106272,0.00106272,0.00106272
3,142.924,0.2653,0.93115,1,0.18786,0.00154544,0.00154544,0.00154544
4,190.964,0.29329,0.95082,1,0.19488,0.00150197,0.00150197,0.00150197
5,237.907,0.3227,0.96393,1,0.10582,0.00144696,0.00144696,0.00144696
6,285.414,0.19805,0.84262,1,0.688,0.00139195,0.00139195,0.00139195
7,332.841,0.20178,0.9541,1,0.1266,0.00133693,0.00133693,0.00133693
8,380.234,0.17697,0.96066,1,0.11889,0.00128192,0.00128192,0.00128192
9,427.881,0.1452,0.89508,1,0.30383,0.00122691,0.00122691,0.00122691
10,476.006,0.14677,0.96721,1,0.09264,0.0011719,0.0011719,0.0011719
11,523.516,0.11929,0.98689,1,0.05399,0.00111689,0.00111689,0.00111689
12,570.956,0.10648,0.92131,1,0.28255,0.00106188,0.00106188,0.00106188
13,620.182,0.13536,0.92787,1,0.25592,0.00100687,0.00100687,0.00100687
14,667.724,0.12663,0.98361,1,0.06204,0.000951857,0.000951857,0.000951857
15,715.362,0.10239,0.98689,1,0.03472,0.000896846,0.000896846,0.000896846
16,763.124,0.10683,0.97705,1,0.07979,0.000841835,0.000841835,0.000841835
17,810.547,0.07072,0.98689,1,0.04258,0.000786824,0.000786824,0.000786824
18,858.006,0.08494,0.98033,1,0.03846,0.000731813,0.000731813,0.000731813
19,905.335,0.07899,0.94754,1,0.13876,0.000676802,0.000676802,0.000676802
20,952.623,0.0556,0.98033,1,0.0471,0.000621791,0.000621791,0.000621791
21,1000.1,0.05994,0.96066,1,0.09569,0.00056678,0.00056678,0.00056678
22,1049.18,0.06531,0.98033,1,0.04923,0.000511769,0.000511769,0.000511769
23,1095.91,0.05271,0.96721,1,0.10818,0.000456758,0.000456758,0.000456758
24,1142.62,0.0413,0.98033,1,0.074,0.000401747,0.000401747,0.000401747
25,1190.8,0.05643,0.99016,1,0.03548,0.000346736,0.000346736,0.000346736
26,1237.73,0.02955,0.98033,1,0.084,0.000291725,0.000291725,0.000291725
27,1284.39,0.03987,0.98689,1,0.04591,0.000236714,0.000236714,0.000236714
28,1331.04,0.03183,0.97705,1,0.05963,0.000181703,0.000181703,0.000181703
29,1377.59,0.03043,0.97705,1,0.07304,0.000126692,0.000126692,0.000126692
30,1424.45,0.03026,0.97705,1,0.08219,7.1681e-05,7.1681e-05,7.1681e-05
